Time,Channel B
(ms),(V)

-3.73681705,4.94460900
-3.73553705,4.94460900
-3.73425705,4.94460900
-3.73297705,4.94460900
-3.73169705,4.94460900
-3.73041705,4.94460900
-3.72913705,4.94460900
-3.72785705,4.94460900
-3.72657705,4.94460900
-3.72529705,4.94460900
-3.72401705,4.94460900
-3.72273705,4.94460900
-3.72145705,5.12100600
-3.72017705,5.12100600
-3.71889705,4.94460900
-3.71761705,4.94460900
-3.71633705,4.94460900
-3.71505705,4.94460900
-3.71377705,4.94460900
-3.71249705,4.94460900
-3.71121705,4.94460900
-3.70993705,4.94460900
-3.70865705,4.94460900
-3.70737705,4.94460900
-3.70609705,4.94460900
-3.70481705,4.94460900
-3.70353705,4.94460900
-3.70225705,4.94460900
-3.70097705,4.94460900
-3.69969705,4.94460900
-3.69841705,4.94460900
-3.69713705,4.94460900
-3.69585705,4.94460900
-3.69457705,4.94460900
-3.69329705,4.94460900
-3.69201705,4.94460900
-3.69073705,4.94460900
-3.68945705,4.94460900
-3.68817705,4.94460900
-3.68689705,4.94460900
-3.68561705,4.94460900
-3.68433705,4.94460900
-3.68305705,4.94460900
-3.68177705,4.94460900
-3.68049705,4.94460900
-3.67921705,4.94460900
-3.67793705,4.94460900
-3.67665705,4.94460900
-3.67537705,4.94460900
-3.67409705,4.94460900
-3.67281705,4.94460900
-3.67153705,4.94460900
-3.67025705,4.94460900
-3.66897705,4.94460900
-3.66769705,4.94460900
-3.66641705,4.94460900
-3.66513705,4.94460900
-3.66385705,4.94460900
-3.66257705,4.94460900
-3.66129705,4.94460900
-3.66001705,4.94460900
-3.65873705,4.94460900
-3.65745705,4.94460900
-3.65617705,4.94460900
-3.65489705,4.94460900
-3.65361705,4.94460900
-3.65233705,5.12100600
-3.65105705,5.12100600
-3.64977705,5.12100600
-3.64849705,4.94460900
-3.64721705,4.94460900
-3.64593705,4.94460900
-3.64465705,4.94460900
-3.64337705,4.94460900
-3.64209705,4.94460900
-3.64081705,4.94460900
-3.63953705,4.94460900
-3.63825705,4.94460900
-3.63697705,4.94460900
-3.63569705,4.94460900
-3.63441705,4.94460900
-3.63313705,4.94460900
-3.63185705,4.94460900
-3.63057705,4.94460900
-3.62929705,4.94460900
-3.62801705,4.94460900
-3.62673705,4.94460900
-3.62545705,4.94460900
-3.62417705,4.94460900
-3.62289705,4.94460900
-3.62161705,4.94460900
-3.62033705,4.94460900
-3.61905705,4.94460900
-3.61777705,4.94460900
-3.61649705,4.94460900
-3.61521705,4.94460900
-3.61393705,4.94460900
-3.61265705,4.94460900
-3.61137705,4.94460900
-3.61009705,4.94460900
-3.60881705,4.94460900
-3.60753705,4.94460900
-3.60625705,4.94460900
-3.60497705,4.94460900
-3.60369705,4.94460900
-3.60241705,4.94460900
-3.60113705,4.94460900
-3.59985705,4.94460900
-3.59857705,4.94460900
-3.59729705,4.94460900
-3.59601705,4.94460900
-3.59473705,4.94460900
-3.59345705,4.94460900
-3.59217705,4.94460900
-3.59089705,4.94460900
-3.58961705,4.94460900
-3.58833705,4.94460900
-3.58705705,4.94460900
-3.58577705,4.94460900
-3.58449705,4.94460900
-3.58321705,5.12100600
-3.58193705,5.12100600
-3.58065705,4.94460900
-3.57937705,4.94460900
-3.57809705,4.94460900
-3.57681705,5.12100600
-3.57553705,4.94460900
-3.57425705,4.94460900
-3.57297705,4.94460900
-3.57169705,4.94460900
-3.57041705,4.94460900
-3.56913705,4.94460900
-3.56785705,4.94460900
-3.56657705,4.94460900
-3.56529705,4.94460900
-3.56401705,4.94460900
-3.56273705,4.94460900
-3.56145705,4.94460900
-3.56017705,4.94460900
-3.55889705,4.94460900
-3.55761705,4.94460900
-3.55633705,4.94460900
-3.55505705,4.94460900
-3.55377705,4.94460900
-3.55249705,4.94460900
-3.55121705,4.94460900
-3.54993705,4.94460900
-3.54865705,4.94460900
-3.54737705,4.94460900
-3.54609705,4.94460900
-3.54481705,4.94460900
-3.54353705,4.94460900
-3.54225705,4.94460900
-3.54097705,4.94460900
-3.53969705,4.94460900
-3.53841705,4.94460900
-3.53713705,4.94460900
-3.53585705,4.94460900
-3.53457705,4.94460900
-3.53329705,4.94460900
-3.53201705,4.94460900
-3.53073705,4.94460900
-3.52945705,4.94460900
-3.52817705,4.94460900
-3.52689705,4.94460900
-3.52561705,4.94460900
-3.52433705,4.94460900
-3.52305705,4.94460900
-3.52177705,4.94460900
-3.52049705,4.94460900
-3.51921705,4.94460900
-3.51793705,4.94460900
-3.51665705,4.94460900
-3.51537705,4.94460900
-3.51409705,5.12100600
-3.51281705,5.12100600
-3.51153705,4.94460900
-3.51025705,4.94460900
-3.50897705,4.94460900
-3.50769705,4.94460900
-3.50641705,4.94460900
-3.50513705,4.94460900
-3.50385705,4.94460900
-3.50257705,4.94460900
-3.50129705,4.94460900
-3.50001705,4.94460900
-3.49873705,4.94460900
-3.49745705,4.94460900
-3.49617705,4.94460900
-3.49489705,4.94460900
-3.49361705,4.94460900
-3.49233705,4.94460900
-3.49105705,4.94460900
-3.48977705,4.94460900
-3.48849705,4.94460900
-3.48721705,4.94460900
-3.48593705,4.94460900
-3.48465705,4.94460900
-3.48337705,4.94460900
-3.48209705,4.94460900
-3.48081705,4.94460900
-3.47953705,4.94460900
-3.47825705,4.94460900
-3.47697705,4.94460900
-3.47569705,4.94460900
-3.47441705,4.94460900
-3.47313705,4.94460900
-3.47185705,4.94460900
-3.47057705,4.94460900
-3.46929705,4.94460900
-3.46801705,4.94460900
-3.46673705,4.94460900
-3.46545705,4.94460900
-3.46417705,4.94460900
-3.46289705,4.94460900
-3.46161705,4.94460900
-3.46033705,4.94460900
-3.45905705,4.94460900
-3.45777705,4.94460900
-3.45649705,4.94460900
-3.45521705,4.94460900
-3.45393705,4.94460900
-3.45265705,4.94460900
-3.45137705,4.94460900
-3.45009705,4.94460900
-3.44881705,4.94460900
-3.44753705,4.94460900
-3.44625705,5.12100600
-3.44497705,5.12100600
-3.44369705,4.94460900
-3.44241705,4.94460900
-3.44113705,4.94460900
-3.43985705,4.94460900
-3.43857705,4.94460900
-3.43729705,4.94460900
-3.43601705,4.94460900
-3.43473705,4.94460900
-3.43345705,4.94460900
-3.43217705,4.94460900
-3.43089705,4.94460900
-3.42961705,4.94460900
-3.42833705,4.94460900
-3.42705705,4.94460900
-3.42577705,5.12100600
-3.42449705,4.94460900
-3.42321705,4.94460900
-3.42193705,4.94460900
-3.42065705,4.94460900
-3.41937705,4.94460900
-3.41809705,4.94460900
-3.41681705,4.94460900
-3.41553705,4.94460900
-3.41425705,4.94460900
-3.41297705,4.94460900
-3.41169705,4.94460900
-3.41041705,4.94460900
-3.40913705,4.94460900
-3.40785705,4.94460900
-3.40657705,4.94460900
-3.40529705,4.94460900
-3.40401706,4.94460900
-3.40273706,4.94460900
-3.40145706,4.94460900
-3.40017706,4.94460900
-3.39889706,4.94460900
-3.39761706,4.94460900
-3.39633706,4.94460900
-3.39505706,4.94460900
-3.39377706,4.94460900
-3.39249706,4.94460900
-3.39121706,4.94460900
